,All_Beauty,AMAZON_FASHION,Appliances,Arts_Crafts_and_Sewing,Automotive,Books,CDs_and_Vinyl,Cell_Phones_and_Accessories,Clothing_Shoes_and_Jewelry,Digital_Music,Electronics,Gift_Cards,Grocery_and_Gourmet_Food,Home_and_Kitchen,Industrial_and_Scientific,Kindle_Store,Luxury_Beauty,Magazine_Subscriptions,Movies_and_TV,Musical_Instruments,Office_Products,Patio_Lawn_and_Garden,Pet_Supplies,Prime_Pantry,Software,Sports_and_Outdoors,Tools_and_Home_Improvement,Toys_and_Games,Video_Games
All_Beauty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMAZON_FASHION,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appliances,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arts_Crafts_and_Sewing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Automotive,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0.5,0,0
Books,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDs_and_Vinyl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell_Phones_and_Accessories,0,0,0,0,0.5,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0.25,0.5,0,0
Clothing_Shoes_and_Jewelry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital_Music,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronics,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0
Gift_Cards,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grocery_and_Gourmet_Food,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0.5,0.25,0
Home_and_Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial_and_Scientific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindle_Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxury_Beauty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Magazine_Subscriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Movies_and_TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Musical_Instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Office_Products,0,0,0,0,0,0,0,1,0,0,0.25,0,1,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,0.5,1,0
Patio_Lawn_and_Garden,0,0,0,0,0.5,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,0.5,0,0
Pet_Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0
Prime_Pantry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sports_and_Outdoors,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0.25,0,0
Tools_and_Home_Improvement,0,0,0,0,0.5,0,0,0.5,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.25,1,0,0
Toys_and_Games,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Video_Games,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1